pricing_id,item_id,year,expression_type,raw_expression,base_value,base_unit,variable_value,variable_unit,confidence,source_file
PRICE_CAMINATA_LA_TENCA_EXCLUSIVA_0068,CAMINATA_LA_TENCA_EXCLUSIVA,2025,base_plus_variable,300.000+ 10.000 por persona,300000.0,CLP,10000.0,CLP,high,teambuilding_y_actividades_actividades.csv
PRICE_YOGA_0069,YOGA,2025,base_plus_variable,300.000 + 10.000 pesos por persona,300000.0,CLP,10000.0,CLP,high,teambuilding_y_actividades_actividades.csv
PRICE_TEAMBUILDING_PAINTBALL_0070,TEAMBUILDING_PAINTBALL,2025,base_plus_variable,1.000.000+ 35.000 por persona,1000000.0,CLP,35000.0,CLP,high,teambuilding_y_actividades_teambuilding.csv
PRICE_TEAMBUILDING_BUSQUEDA_TESORO_0071,TEAMBUILDING_BUSQUEDA_TESORO,2025,base_plus_variable,500.000+ 15.000 por persona,500000.0,CLP,15000.0,CLP,high,teambuilding_y_actividades_teambuilding.csv
PRICE_ACTIVIDAD_PAUSA_NEUMATICOS_0072,ACTIVIDAD_PAUSA_NEUMATICOS,2025,base_plus_variable,150.000 + 3.000 por persona,150000.0,CLP,3000.0,CLP,high,teambuilding_y_actividades_teambuilding_actividades_de_pa.csv
PRICE_CENA_BUFFET_0073,CENA_BUFFET,2026,per_person,25210,,,25210.0,CLP,high,cotizacion_tipo_dia_1.csv
PRICE_BEBIDAS_LATA_0074,BEBIDAS_LATA,2026,per_unit,1933,,,1933.0,CLP,high,cotizacion_tipo_dia_1.csv
PRICE_TICKET_TRAGO_0075,TICKET_TRAGO,2026,per_unit,4850,,,4850.0,CLP,high,cotizacion_tipo_dia_1.csv
PRICE_HABITACION_SINGLE_HOTEL_0076,HABITACION_SINGLE_HOTEL,2026,per_unit,120630,,,120630.0,CLP,high,cotizacion_tipo_dia_1.csv
PRICE_NAUFRAGO_ACTIVITY_0077,NAUFRAGO_ACTIVITY,2026,flat,1144000,1144000.0,CLP,,,high,cotizacion_tipo_dia_1.csv
