Categoria,Item,Horario,Valor Original,Valor Fijo,Valor por persona,Detalle de servicios.
Bebidas  y Bar,Ticket de trago Vip,,$6.800,"6.800,00","0,00","Piscola ( Mistral Nobel o 3R doble destilado), Roncola (Havanna reserva), Vodka( Absolut), Whisky (ballantines 7 años),Gin Kantal, Tequila Olmeca, Ramazzotti,  Daiquiri, Pisco sour, Kir Royal, Piña Colada, Vino  Gran Tarapacá( blanco y tinto) , Espumante Viña Mar Brut, cervezas en botella tales como Sol, Heineken,  Austral, Kunstmann botella y Barril Schop Kunstmann. Las bebidas son de marcas CCU."
Bebidas  y Bar,"Bar abierto 4 horas, valor por persona",,$30.800,"30.800,00","0,00","Piscola ( Mistra 35), Roncola (Havanna),  vodka (wyborowa), Whisky( Ballantines finest 3 años), Gin beefeter, Ramazzotti,  Daiquiri, Pisco sour, Kir Royal, Piña Colada( con y sin alcohol), Copa de vino castillo molina( blanco y tinto) , copa de espumante Viña Mar Brut, cervezas en botella tales como Sol, Heineken con y sin alcohol,  Austral y Kunstmann. Las bebidas son de marcas CCU. "
Bebidas  y Bar,Hora extra Bar abierto por persona,,$10.010,"10.010,00","0,00",extensión de 1 hora para el bar abierto
Bebidas  y Bar,"Bar abierto sin alcohol 4 horas, valor por persona",,$32.000,"32.000,00","0,00","Mocktails tales como Piña colada, Chardonnay sour , San Francisco (Mocktail en base a jugo de naranja), Paloma (Mocktail en base a pomelo), Cerveza sin alcohol (Heineken 0.0), Limonada, Jugos naturales, Vino blanco sin alcohol, Sangria sin alcohol. Las bebidas son de marcas CCU."
Bebidas  y Bar,Hora extra Bar abierto sin alcohol por persona,,$10.400,"10.400,00","0,00",extensión de 1 hora para el bar abierto
Bebidas  y Bar,"Bar abierto VIP  4 horas, valor por persona",,$38.000,"38.000,00","0,00","Piscola ( Mistral Nobel o 3R doble destilado), Roncola (Havanna reserva), Vodka( Absolut), Whisky (ballantines 7 años),Gin Kantal, Tequila Olmeca, Ramazzotti,  Daiquiri, Pisco sour, Kir Royal, Piña Colada, Vino  Gran Tarapacá( blanco y tinto) , Espumante Viña Mar Brut, cervezas en botella tales como Sol, Heineken,  Austral, Kunstmann botella y Barril Schop Kunstmann. Las bebidas son de marcas CCU."
Bebidas  y Bar,Hora extra Bar abierto Vip por persona,,$12.350,"12.350,00","0,00",extensión de 1 hora para el bar abierto
Bebidas  y Bar,"Bar Abierto de bebidas en vaso por 4 horas, por persona",,$12.000,"12.000,00","0,00",Botellas de 3 litros CCU servido en vaso desechable (ver tamaño)
Bebidas  y Bar,"Bar Abierto de bebidas en vaso por 8 horas, por persona",,$20.000,"20.000,00","0,00",Botellas de 3 litros CCU servido en vaso desechable (ver tamaño)
Bebidas  y Bar,Bebidas ,,$1.933,"1.933,00","0,00",Lata de bebida o agua  ccu
Bebidas  y Bar,Ticket de bebida o agua,,$1.933,"1.933,00","0,00",Lata de bebida o agua ccu
Bebidas  y Bar,Barril de cerveza kuntsman torobayo 30L,,$220.000,"220.000,00","0,00",Barril de cerveza torobayo exclusivo
Bebidas  y Bar,"Bebestibles adicionales en Salón (Bebidas, Jugos Naturales, Agua Mineral)",,ver listado de bar,"0,00","0,00",Visitar QR para mayor detalles ( https://gour.media/san-francisco-lodge/ )
Bebidas  y Bar,Vino Castillo Molina,,$13.025,"13.025,00","0,00",Se recomienda 1 botella para 5 personas
Bebidas  y Bar,Vino Casillero del diablo Reserva Especial,,$13.445,"13.445,00","0,00",Se recomienda 1 botella para 5 personas
Bebidas  y Bar,Vino Marques Casa Concha,,$20.168,"20.168,00","0,00",Se recomienda 1 botella para 5 personas
Cambios de horas y lugar en servicios de alimentacion,"Cambio de horario del desayuno 1 hora, minimo 30 personas",7:30- 8:30 o 10:00- 11:00,$6.500,"6.500,00","0,00","valor por persona, se adelanta o se extiende el desayuno por una hora"
Cambios de horas y lugar en servicios de alimentacion,"Cambio de horario del desayuno por media hora , minimo 30 personas",8:00-8:30 o 10:00- 10:30,$4.000,"4.000,00","0,00","valor por persona, se adelanta o se extiende el desayuno por media hora"
Cambios de horas y lugar en servicios de alimentacion,"Cambio de horario de almuerzo por media hora, minimo 30 personas",13:00-13:30 o 15:00-15:30,$6.500,"6.500,00","0,00","valor por persona, se adelanta o se extiende el almuerzo por media hora."
Cambios de horas y lugar en servicios de alimentacion,Extension media hora horario de cena ,21:00-21:30,$8.000,"8.000,00","0,00",valor por persona para extension de servicios de cena por media hora hasta las 21:30
Cambios de horas y lugar en servicios de alimentacion,Cambio de lugar de servicio de alimentacion,,$10.000,"10.000,00","0,00","Valor por persona, se debe reservar adicionalmente el salon ( chinook, salon truchita o comedor vip)"
Alimentacion y banqueteria,Desayuno,8:30-10:00,$12.500,"12.500,00","0,00","Tipos de Café, Chocolate, té, leche, jugo, yogurt, cereales, Fruta, jamón, quesos, huevos, tocino, chorizo, verduras asadas, mermeladas, mantequilla, distintos tipos de panes, minipastelitos, queques, croissant."
Alimentacion y banqueteria,Desayuno incluido por alojamiento,8:30-10:00,$0,"0,00","0,00","Tipos de Café, Chocolate, té, leche, jugo, yogurt, cereales, Fruta, jamón, quesos, huevos, tocino, chorizo, verduras asadas, mermeladas, mantequilla, distintos tipos de panes, minipastelitos, queques, croissant."
Alimentacion y banqueteria,"Almuerzo Sugerencias del chef  en formato Buffet, mas de 30 pasajeros. Menos de 30 es carta",13:30- 15:00,$27.311,"27.311,00","0,00","Buffet tenedor libre con variedad de ensaladas, guarniciones y acompañamientos calientes. No incluye bebidas ni aperitivos. Si en el hotel hay menos de 30 personas el servicio a la carta, si contamos con mas de 30 personas será buffet.  Horario almuerzo desde 13:30 hasta 15:00 hrs"
Alimentacion y banqueteria,"Cena Sugerencias del chef  en formato Buffet, mas de 30 pasajeros. Menos de 30 es carta",19:30- 21:00,$27.311,"27.311,00","0,00","Buffet tenedor libre con opciones de Pizzas, fondos con carnes, acompañamientos, Salad bar, salsas, dressing, postres, sopas, inc café. . Horario cena desde 19:30 hasta 21:00.. Si en el hotel hay menos de 30 personas el servicio a la carta, si es mas de 30 personas será buffet."
Alimentacion y banqueteria,Almuerzo o cena a la carta,13:30- 15:00,$35.000,"35.000,00","0,00","Servicio de alimentacion a la carta, servido a la mesa. Es un menú único que debe elergirse con una semana de anticipación. Se sugiere agregar vinos para acompañar la comida"
Alimentacion y banqueteria,Almuerzo o cena a la carta VIP,13:30- 15:00,$45.000,"45.000,00","0,00","Servicio de alimentacion a la carta, servido a la mesa. Es un menú único que debe elergirse con una semana de anticipación. Se sugiere agregar vinos para acompañar la comida"
Alimentacion y banqueteria,"Cena o Almuerzo parrilla, 30 o mas  pax",19:30-21:00,$35.000,"35.000,00","0,00","Preparacion de carnes de vacuno, cerdo, chorizos y prietas la parrilla,  mas acompañamientos, ensaladas y postre y café.No incluye bebidas ni aperitivos"
Alimentacion y banqueteria,"Cena o Almuerzo parrilla, menos de 30 pax",19:30-21:00,$45.000,"45.000,00","0,00","Preparacion de carnes, verduras y frutas a la parrilla,  mas acompañamientos, ensaladas y postre y café.No incluye bebidas ni aperitivos"
Alimentacion y banqueteria,Once ,17:00 - 18:00,$9.800,"9.800,00","0,00",Bebida o agua con Hamburguesa lechuga tomate y helado.
Alimentacion y banqueteria,Box lunch (Como una Once en cajitas individuales para que se la puedan llevar) ,,$12.000,"12.000,00","0,00","Muffin o dos facturas, hamburguesa, una fruta, 1 bebida"
Alimentacion y banqueteria,"Cata de vinos con somelier, minimo 10 personas y hasta 40.  Duración 1 hora",,$300.000 fijo mas $24.000 por persona,"300.000,00","24.000,00","Cata de 4 vinos  reserva boutique, de la zona, con maridaje de quesos y encurtidos."
Alimentacion y banqueteria,,,,"0,00","0,00",
Alimentacion y banqueteria,Picoteo parrillando con amigos: minimo 20 personas,,400.000 fijo mas 20.000 por persona,"400.000,00","20.000,00","Este apertivo consiste en hacer  su propia parrilla modo picoteo.  Podran escoger 2 unidades dentro de las siguientes alternativas: pisco sour, vino, espumpante o cerveza. Duracion 1 hora. No reemplaza  comida"
Alimentacion y banqueteria,"Aperitivo tematico: Jugando en la barra, minimo 20 personas. Maximo 1,5 horas",,400.000 fijo mas 20.000 por persona,"400.000,00","20.000,00","Bar abierto entretenido, donde ellos prepararan sus propios tragos con la ayuda de un bartender profesional. Acompañados con quesos y frutos secos. Duracion 1,5 horas"
Alimentacion y banqueteria,Tabla de Queso 6 Pax,,$30.000,"30.000,00","0,00","Queso mantecoso, queso azul, queso cabra, camembert, esferas queso crema con ciboulette y mix frutos secos."
Alimentacion y banqueteria,Tabla Fiambres 6 Pax,,$30.000,"30.000,00","0,00","Jamon pierna, jamon serrano, salame, mix frutos secos"
Alimentacion y banqueteria,Tabla Mixta Quesos y Fiambres 6 pax,,$30.000,"30.000,00","0,00","Jamon pierna, jamon serrano, salame, queso mantecoso, queso cabra, camembert, esferas queso crema y mix frutos secos."
Alimentacion y banqueteria,"Tabla Mix Tapaditos, Quiches y Mini Empanadas 6 pax ",,$60.000,"60.000,00","0,00","6 tapaditos salmon queso crema, 6 tapaditos Jamon serrano pesto aceituna, 6 mini quiches, 6 empanadas mini pino y empanadas napolitana."
Alimentacion y banqueteria,Tabla vegana 6 pax,,$60.000,"60.000,00","0,00","1 champiñon relleno, hummus, queso vegano especiado, crudites( bastones de verduras), grissinis de ajo, focaccia palmito, vegetales tempura, 1 brusqueta de rucula con tomate confit."
Alimentacion y banqueteria,"Coctail basico, minimo 15 pasajeros.",,$13.200,"13.200,00","0,00","1 Bebestible por persona entre: Pisco sour, espumante, vino,  bebida o cerveza, 1 empanadita, 1 bruscheta queso crema tomate confit y reduccion de aceto, mix de quesos, brusqueta pesto con jamón serrano, queso azul frito con mermelada de frambuesa, y brocheta de fruta ."
Alimentacion y banqueteria,"Coctail chileno, minimo 15 pasajeros.",,$15.000,"15.000,00","0,00","1 Bebestible por persona entre: Pisco sour, espumante, vino,  bebida o cerveza. 1 empanadita de pino y 1 de queso, 1 bruscheta de prieta nogada, 1 mini anticucho, chorizo envuelto en masa de  hoja, chupe de camarón, mix de quesos y frutos secos."
